id,school,gender,method,study_hours,h1,h2,h3,a1,a2,a3,pretest,posttest,math
1,A,Nữ,Dự án,10.5,3,3,3,2,2,3,74.8,79.4,67.0
2,B,Nữ,Dự án,2.5,4,2,3,3,3,3,49.6,60.1,29.4
3,B,Nam,Truyền thống,4.0,2,2,2,3,2,2,82.8,89.8,31.2
4,B,Nữ,Truyền thống,4.9,2,3,3,3,3,2,64.8,63.1,42.6
5,B,Nữ,Truyền thống,1.9,3,5,3,3,2,3,70.5,78.6,40.3
6,C,Nữ,Dự án,7.3,4,2,3,1,2,2,63.5,74.2,54.1
7,C,Nam,Dự án,48.0,3,3,4,2,2,3,46.5,54.9,36.3
8,A,Nam,Dự án,8.0,2,3,4,3,4,4,48.8,61.4,63.7
9,B,Nữ,Truyền thống,5.5,3,3,3,4,3,4,69.7,74.5,47.9
10,A,Nam,Dự án,2.4,3,2,2,2,3,2,75.6,79.2,51.2
11,C,Nam,Dự án,1.9,1,1,1,3,2,3,61.5,65.5,30.6
12,C,Nam,Truyền thống,5.2,3,,4,4,3,3,57.1,61.4,51.7
13,B,Nam,Dự án,2.3,4,3,2,2,3,3,61.1,75.7,41.0
14,C,Nam,Dự án,4.1,3,4,2,5,4,5,59.4,68.4,34.1
15,B,Nam,Truyền thống,2.9,2,2,2,2,2,2,46.2,46.8,41.3
16,C,Nam,Truyền thống,5.7,2,4,3,4,5,3,57.8,61.0,48.9
17,B,Nữ,Truyền thống,2.0,3,3,4,1,4,1,60.2,56.1,40.2
18,A,Nam,Dự án,5.5,5,3,4,3,3,2,44.8,59.6,45.8
19,A,Nam,Truyền thống,2.6,3,3,4,3,3,3,35.4,46.8,47.8
20,A,Nam,Truyền thống,6.1,3,3,3,4,3,3,60.5,73.4,50.6
21,B,Nữ,Dự án,11.0,3,4,4,2,2,1,39.1,52.3,70.2
22,B,Nữ,Truyền thống,2.3,3,3,2,3,4,3,35.9,34.7,45.7
23,B,Nam,Truyền thống,2.6,2,2,2,5,4,5,42.2,44.3,44.7
24,A,Nam,Truyền thống,8.0,3,3,1,5,5,4,65.0,65.5,41.1
25,B,Nam,Dự án,6.0,4,3,3,3,2,4,59.6,70.1,60.9
26,B,Nam,Dự án,5.2,4,4,4,3,3,3,60.9,76.8,57.3
27,A,Nam,Truyền thống,3.0,2,3,3,4,3,2,80.5,68.7,44.4
28,B,Nữ,Truyền thống,4.5,3,5,3,3,3,5,65.4,70.7,41.0
29,B,Nam,Truyền thống,3.3,4,4,5,2,2,3,76.0,80.4,48.0
30,A,Nữ,Dự án,5.4,1,2,2,4,4,4,65.0,74.5,44.6
31,A,Nữ,Dự án,3.9,3,3,2,1,2,4,74.1,85.9,46.7
32,C,Nữ,Truyền thống,3.6,3,4,2,2,1,1,73.3,70.9,49.2
33,C,Nam,Truyền thống,4.9,1,1,1,5,5,5,77.6,86.1,27.3
34,B,Nam,Dự án,6.4,3,4,4,2,5,4,57.8,67.6,46.3
35,A,Nam,Truyền thống,4.0,4,5,3,2,4,4,50.6,52.2,56.0
36,C,Nữ,Truyền thống,4.5,3,3,3,2,3,3,57.6,60.6,48.4
37,B,Nam,Dự án,6.8,5,5,5,2,1,1,74.1,79.4,70.3
38,B,Nữ,Truyền thống,6.2,4,3,4,3,2,2,76.3,79.7,53.1
39,C,Nam,Dự án,5.0,1,4,4,4,2,3,58.3,69.6,52.9
40,A,Nữ,Dự án,4.5,3,2,2,4,4,4,66.9,67.1,62.8
41,B,Nam,Truyền thống,5.0,2,3,4,2,2,3,76.5,77.3,49.2
42,A,Nữ,Truyền thống,2.0,3,4,4,4,4,4,64.8,64.9,48.4
43,A,Nữ,Truyền thống,6.9,3,1,2,3,3,3,70.0,72.6,39.1
44,C,Nữ,Dự án,5.0,4,2,4,3,3,4,66.6,72.8,58.1
45,A,Nam,Dự án,7.0,1,2,1,3,4,4,60.7,58.0,48.8
46,B,Nam,Truyền thống,1.3,2,2,1,2,1,2,51.2,56.8,46.2
47,B,Nam,Truyền thống,1.3,3,3,3,3,3,2,85.6,95.6,38.1
48,A,Nữ,Truyền thống,1.8,1,1,3,2,3,3,57.0,55.7,26.3
49,C,Nam,Truyền thống,2.9,2,3,1,4,3,2,46.0,49.8,38.5
50,B,Nữ,Truyền thống,3.1,2,3,2,4,5,3,57.3,56.0,36.6
51,B,Nữ,Truyền thống,4.5,5,5,5,4,3,4,61.6,65.6,59.0
52,B,Nam,Truyền thống,5.6,2,1,3,4,4,4,63.0,64.6,36.0
53,B,Nữ,Dự án,4.6,3,3,4,5,5,5,56.6,71.0,26.0
54,B,Nữ,Truyền thống,4.8,1,3,1,3,4,3,65.2,64.7,41.4
55,B,Nam,Truyền thống,3.6,4,2,2,5,5,4,77.8,84.5,36.4
56,B,Nam,Dự án,7.7,3,4,3,1,2,1,56.6,60.2,66.8
57,B,Nữ,Dự án,5.1,4,5,4,3,2,4,60.5,65.1,45.4
58,B,Nữ,Dự án,3.8,3,,4,3,3,4,74.5,83.0,44.0
59,A,Nam,Dự án,5.5,3,4,3,1,2,3,52.6,50.7,55.8
60,C,Nữ,Truyền thống,3.8,4,3,3,2,3,2,44.6,42.2,42.0
61,B,Nam,Dự án,4.7,1,1,2,2,2,2,52.8,65.6,44.4
62,A,Nam,Dự án,6.5,4,3,3,4,3,4,61.8,65.6,53.3
63,B,Nam,Truyền thống,3.6,3,3,2,2,1,2,69.3,64.1,42.2
64,A,Nữ,Truyền thống,2.8,3,4,3,5,3,3,46.0,40.3,42.2
65,C,Nữ,Truyền thống,4.7,4,2,4,5,4,5,50.0,53.3,44.5
66,C,Nữ,Dự án,6.9,4,3,3,1,2,3,45.4,49.9,61.8
67,A,Nữ,Dự án,2.6,4,4,4,3,3,2,46.5,54.6,47.2
68,B,Nữ,Truyền thống,7.7,2,2,2,4,3,2,46.6,32.7,44.5
69,C,Nam,Truyền thống,3.6,3,4,4,3,4,2,64.8,62.8,42.7
70,A,Nam,Dự án,6.5,2,4,3,5,5,4,64.0,67.1,55.5
71,B,Nữ,Truyền thống,3.5,3,2,3,1,3,2,61.6,68.9,46.8
72,B,Nữ,Dự án,6.9,4,2,4,2,3,2,66.4,79.4,61.6
73,C,Nam,Truyền thống,6.3,2,4,2,3,2,2,61.6,68.3,53.0
74,C,Nam,Truyền thống,3.8,2,2,2,5,5,4,61.5,52.2,38.8
75,C,Nữ,Truyền thống,4.4,2,2,2,3,1,3,76.9,84.7,43.7
76,B,Nam,Dự án,5.2,2,2,3,4,3,3,67.0,81.9,38.7
77,A,Nữ,Dự án,2.0,3,2,5,1,2,2,34.6,37.5,49.5
78,C,Nam,Dự án,2.8,1,2,1,4,3,3,62.9,72.3,29.8
79,A,Nữ,Dự án,3.5,3,4,4,3,4,3,73.1,83.3,51.1
80,A,Nam,Dự án,7.8,1,1,2,4,3,4,68.2,73.4,52.5
81,A,Nam,Dự án,1.9,3,1,3,2,3,2,56.7,65.2,41.0
