CNT,CNTSCHID,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung,n_hs,sci_mean,sci_nvalid,math_mean,read_mean,qq_time_mean
VNM,70400001,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0,42.0,0.37944562896608924,34.0,0.4197119191455491,0.5704983738121484,1853.5238095238096
VNM,70400002,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0,42.0,0.4965496672977491,34.0,0.5660249892404868,0.6685806375533199,1671.904761904762
VNM,70400003,VNM22,70403,2.0,1.0,3.0,1.0,4.0,38.0,4.0,4.0,2.0,3.0,2.0,5.0,0.583,-0.0146,0.2632,1.0248,-0.0252,-0.299916175210575,-0.6346,2.0738,2.0128,15.768645434,10.823241312484189,3.0,42.0,0.4523595314278544,35.0,0.4946066745938718,0.6722947151979657,1568.1904761904761
VNM,70400004,VNM28,70404,5.0,1.0,3.0,1.0,,43.0,4.0,,,3.0,3.0,5.0,0.8117,0.1261,0.592,0.1,2.9476,-0.1350131625169151,0.1766,2.0707,1.8144,10.4969163,7.204845757193825,4.0,42.0,0.641677489177489,34.0,0.8559913359069043,0.8441029961076242,1654.7857142857142
VNM,70400005,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,,3.0,3.0,5.0,0.0385,0.6398,1.5435,1.2477,-0.7273,2.589132669225593,-0.3526,1.8786,2.0128,14.720200438,10.103612398125629,2.0,41.0,0.4709860663633042,34.0,0.5838743234141367,0.6953588794803032,1981.9024390243903
VNM,70400006,VNM33,70405,6.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,,3.0,2.0,5.0,1.0773,-2.2095,-1.4549,-0.6343,0.2764,0.8439307590330061,2.4187,0.7443,0.6501,5.5678694974,3.8216595977764736,5.0,42.0,0.5805344758760906,35.0,0.7389717529310231,0.7674292446882213,1898.595238095238
VNM,70400007,VNM15,70402,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,2.0,2.0,5.0,0.6782,0.3905,0.4299,1.2477,-0.6485,-0.2574136139336264,0.1994,2.0707,0.8207,12.395656371,8.508097965135908,2.0,42.0,0.39735503413892176,34.0,0.4554771429607668,0.5802361465259284,1857.0238095238096
VNM,70400008,VNM33,70405,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,3.0,5.0,2.7868,3.5479,4.0437,2.186,-0.0735,1.1347833168548946,2.1084,1.9464,0.2479,9.7353354545,6.682113902748081,5.0,42.0,0.5029500147885241,35.0,0.5851042762649459,0.748591312165153,2268.714285714286
VNM,70400009,VNM33,70405,4.0,1.0,3.0,1.0,4.0,53.0,2.0,4.0,4.0,3.0,2.0,5.0,0.587,-0.0552,1.1027,0.3884,-1.0388,-0.05052741953055702,1.1229,1.0341,0.1718,15.904260891,10.916324692598057,5.0,42.0,0.4789902747356164,35.0,0.5022690532920712,0.6255809945108722,2308.095238095238
VNM,70400010,VNM25,70404,5.0,2.0,1.0,2.0,2.0,23.0,3.0,1.0,1.0,3.0,2.0,5.0,1.0219,-0.5312,-1.4549,-1.421,0.2803,2.589132669225593,1.0936,0.0167,0.5541,78.037894737,53.56344460860498,4.0,40.0,0.5613064456678586,32.0,0.709974339386104,0.701964575698609,1529.825
VNM,70400011,VNM22,70403,4.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,2.3494,-2.2095,-0.2966,-1.421,0.4706,0.33563128893475364,0.971,2.0707,2.0128,15.768645434,10.823241312484189,3.0,42.0,0.49987156918103215,34.0,0.546939843781949,0.6553501091563843,1654.4761904761904
VNM,70400012,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,3.0,1.0,-0.2255,-0.5245,-1.4549,0.8306,-0.6717,2.589132669225593,0.4281,2.0707,2.0128,9.9366788774,6.820311470944366,2.0,42.0,0.4898003105164231,34.0,0.5428786064226678,0.6070207582054014,1681.6904761904761
VNM,70400013,VNM15,70402,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,2.0,3.0,1.0,5.0,0.8005,-1.4172,0.3596,-0.6881,-0.7139,0.42885992130801975,-0.3526,2.0707,2.0128,16.296827411,11.185773466428742,2.0,42.0,0.41034919187093105,34.0,0.42364971597771867,0.6505211968674638,1783.452380952381
VNM,70400014,VNM03,70402,4.0,2.0,1.0,2.0,4.0,33.0,4.0,4.0,4.0,3.0,3.0,5.0,4.5621,-0.317,0.0131,-1.421,2.9476,0.6250122713152813,2.3153,2.0707,2.0128,2.4550561798,1.6850949931557053,2.0,41.0,0.5464970105286311,33.0,0.7008164380211689,0.6982205208539918,1556.121951219512
VNM,70400015,VNM04,70402,2.0,1.0,3.0,1.0,4.0,38.0,4.0,4.0,1.0,3.0,3.0,5.0,0.5865,-0.5312,-0.3162,0.8339,0.1478,-0.9885269185061469,-0.3526,2.0707,0.4546,19.551646707,13.41980776040689,2.0,42.0,0.5139435603656899,34.0,0.555799557632194,0.6831913605451179,1736.857142857143
VNM,70400016,VNM22,70403,4.0,1.0,3.0,1.0,2.0,43.0,4.0,1.0,2.0,2.0,2.0,5.0,-1.3168,-2.2095,0.028,0.2651,-0.0252,-0.8410231213250464,-0.3526,2.0707,2.0128,52.323232576,35.913482536567365,3.0,40.0,0.3372929354352279,33.0,0.3000362147457954,0.48460463889507527,2072.75
VNM,70400017,VNM26,70404,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,3.0,2.0,5.0,0.2284,-0.9799,1.4551,2.9592,2.9476,0.13627609826100104,1.1848,2.0707,1.5226,9.16,6.287216669136957,4.0,41.0,0.45767542346826245,34.0,0.4677961261542194,0.5964635025015106,1751.4146341463415
VNM,70400018,VNM10,70401,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,,3.0,2.0,5.0,0.141,-2.2095,1.5435,1.2477,-0.0252,1.0672639730748135,0.8038,2.0707,1.1052,17.809613283,12.224115448008796,1.0,39.0,0.43350355178418426,33.0,0.401691808788583,0.5763169669806615,1920.871794871795
